"student_track_id","student_id","track_name","date_enrolled","track_completed","days_for_completion","completion_bucket"
3673,262374,Data Scientist,2022-02-02,0,,
3674,262386,Data Analyst,2022-04-06,0,,
3675,262403,Data Scientist,2022-02-03,0,,
3676,262404,Data Analyst,2022-02-03,0,,
3677,262406,Data Analyst,2022-02-04,0,,
3678,262406,Data Scientist,2022-04-13,0,,
3679,262407,Data Analyst,2022-02-03,0,,
3680,262412,Business Analyst,2022-06-10,0,,
3681,262412,Data Analyst,2022-06-10,0,,
3682,262412,Data Scientist,2022-02-24,0,,
3683,262414,Data Scientist,2022-02-03,0,,
3684,262424,Business Analyst,2022-02-03,0,,
3685,262424,Data Analyst,2022-02-03,0,,
3686,262424,Data Scientist,2022-02-03,0,,
3687,262427,Data Analyst,2022-02-03,0,,
3688,262428,Data Analyst,2022-04-19,0,,
3689,262431,Data Analyst,2022-02-03,0,,
3690,262432,Data Analyst,2022-02-03,1,291,"91 to 365 days"
3691,262440,Data Scientist,2022-02-03,0,,
3692,262447,Data Analyst,2022-02-13,0,,
3693,262457,Business Analyst,2022-02-03,0,,
3694,262459,Data Analyst,2022-02-05,0,,
3695,262465,Data Analyst,2022-02-03,0,,
3696,262467,Data Analyst,2022-02-04,0,,
3697,262468,Data Analyst,2022-02-03,0,,
3698,262469,Business Analyst,2022-06-18,0,,
3699,262469,Data Analyst,2022-06-18,0,,
3700,262477,Data Scientist,2022-02-03,0,,
3701,262478,Data Scientist,2022-02-03,0,,
3702,262485,Data Analyst,2022-02-03,0,,
3703,262487,Data Scientist,2022-04-26,0,,
3704,262495,Data Analyst,2022-02-04,0,,
3705,262501,Data Analyst,2022-02-03,0,,
3706,262507,Data Analyst,2022-08-07,0,,
3707,262529,Data Analyst,2022-02-03,0,,
3708,262532,Data Analyst,2022-02-03,0,,
3709,262544,Data Scientist,2022-02-03,0,,
3710,262548,Data Scientist,2022-08-15,0,,
3711,262549,Data Scientist,2022-02-03,0,,
3712,262550,Data Analyst,2022-02-08,0,,
3713,262555,Data Scientist,2022-02-03,0,,
3714,262557,Data Analyst,2022-02-03,0,,
3715,262562,Data Analyst,2022-03-18,0,,
3716,262563,Business Analyst,2022-02-03,0,,
3717,262565,Data Analyst,2022-02-03,0,,
3718,262566,Data Scientist,2022-03-30,0,,
3719,262569,Data Analyst,2022-02-04,0,,
3720,262571,Data Analyst,2022-02-03,0,,
3721,262571,Data Scientist,2022-02-03,0,,
3722,262578,Data Analyst,2022-02-04,0,,
3723,262580,Data Scientist,2022-02-12,0,,
3724,262582,Data Analyst,2022-02-03,0,,
3725,262584,Data Analyst,2022-02-04,0,,
3726,262585,Data Analyst,2022-02-07,0,,
3727,262590,Business Analyst,2022-02-04,0,,
3728,262594,Data Analyst,2022-02-04,0,,
3729,262596,Data Analyst,2022-02-06,0,,
3730,262599,Data Analyst,2022-03-04,0,,
3731,262599,Data Scientist,2022-03-09,0,,
3732,262607,Data Analyst,2022-02-04,0,,
3733,262625,Data Analyst,2022-02-04,0,,
3734,262627,Data Scientist,2022-06-29,0,,
3735,262633,Data Analyst,2022-02-04,0,,
3736,262635,Data Analyst,2022-02-04,0,,
3737,262641,Data Scientist,2022-03-09,1,324,"91 to 365 days"
3738,262643,Business Analyst,2022-02-04,0,,
3739,262645,Business Analyst,2022-02-04,0,,
3740,262648,Business Analyst,2022-02-04,0,,
3741,262650,Data Analyst,2022-02-04,0,,
3742,262657,Data Analyst,2022-02-04,0,,
3743,262670,Data Scientist,2022-02-04,0,,
3744,262673,Data Analyst,2022-02-04,0,,
3745,262674,Data Analyst,2022-02-04,0,,
3746,262677,Data Analyst,2022-02-04,0,,
3747,262678,Data Scientist,2022-02-04,0,,
3748,262680,Data Scientist,2022-02-04,0,,
3749,262681,Data Analyst,2022-02-04,0,,
3750,262682,Data Scientist,2022-02-05,0,,
3751,262683,Data Analyst,2022-02-04,0,,
3752,262691,Data Scientist,2022-02-04,0,,
3753,262700,Data Analyst,2022-02-04,0,,
3754,262703,Data Scientist,2022-02-04,0,,
3755,262704,Data Analyst,2022-02-11,0,,
3756,262705,Data Scientist,2022-02-21,0,,
